product,variable,url,data_type,model_var_name,category,model
ROMS,sst,,ROMS,sst,raw,ROMS_lbst
ROMS,ild_05,,ROMS,ild,raw,ROMS_lbst
ROMS,ssh,,ROMS,ssh,raw,ROMS_lbst
ROMS,bbv_200,,ROMS,bv,raw,ROMS_lbst
ROMS,curl,,ROMS,curl,raw,ROMS_lbst
ROMS,sv,,ROMS,sv,raw,ROMS_lbst
ROMS,su,,ROMS,su,raw,ROMS_lbst
ROMS,sustr,,ROMS,sustr,raw,ROMS_lbst
ROMS,svstr,,ROMS,svstr,raw,ROMS_lbst
Other,z_sd,,Other,z_sd,derived,ROMS_lbst
Other,z,,Other,z,raw,ROMS_lbst
ROMS,ssh_sd,,ROMS,ssh_sd,derived,ROMS_lbst
ROMS,sst_sd,,ROMS,sst_sd,derived,ROMS_lbst
Other,lunar,,Other,lunar,derived,ROMS_lbst
ROMS,EKE,,ROMS,EKE,derived,ROMS_lbst
METOFFICE-GLO-SST-L4-NRT-OBS-SST-V2,analysed_sst,,CMEMS,sst,raw,TopPred_lbst
cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m,nppv,,CMEMS,PPupper200m,raw,TopPred_lbst
cmems_obs-sl_glo_phy-ssh_nrt_allsat-l4-duacs-0.125deg_P1D,sla,,CMEMS,sla,raw,TopPred_lbst
cmems_obs-sl_glo_phy-ssh_nrt_allsat-l4-duacs-0.125deg_P1D,ugosa,,CMEMS,,,TopPred_lbst
cmems_obs-sl_glo_phy-ssh_nrt_allsat-l4-duacs-0.125deg_P1D,vgosa,,CMEMS,,,TopPred_lbst
cmems_obs-oc_glo_bgc-plankton_nrt_l4-gapfree-multi-4km_P1D,CHL,,CMEMS,l.chl,raw,TopPred_lbst
cmems_mod_glo_phy_anfc_0.083deg_P1D-m,mlotst,,CMEMS,mld,raw,TopPred_lbst
cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m,o2,,CMEMS,oxy200m,raw,TopPred_lbst
Other,day,,Other,day,raw,TopPred_lbst
Other,bathy,,Other,bathy,raw,TopPred_lbst
Other,sst_sd,,CMEMS,sst_sd,derived,TopPred_lbst
Other,eke,,CMEMS,eke,derived,TopPred_lbst
Other,bathy_sd,,Other,bathy_sd,derived,TopPred_lbst
Other,random,,Other,random,raw,TopPred_lbst